EmployeeNumber,Department,JobRole,JobLevel,Age,Gender,Attrition,JML_Status,AccessLevel,RiskScore,RiskLevel,YearsAtCompany,YearsInCurrentRole,BusinessTravel,OverTime,PerformanceRating,EmployeeID
1,Sales,Sales Executive,2,41,Female,Yes,Leaver,Write,80,Critical,6,4,Travel_Rarely,Yes,3,EMP0001
2,Research & Development,Research Scientist,2,49,Male,No,Stable,Write,35,Medium,10,7,Travel_Frequently,No,4,EMP0002
4,Research & Development,Laboratory Technician,1,37,Male,Yes,Leaver,Read,70,Critical,0,0,Travel_Rarely,Yes,3,EMP0004
5,Research & Development,Research Scientist,1,33,Female,No,Stable,Write,55,High,8,7,Travel_Frequently,Yes,3,EMP0005
7,Research & Development,Laboratory Technician,1,27,Male,No,Stable,Read,10,Low,2,2,Travel_Rarely,No,3,EMP0007
8,Research & Development,Laboratory Technician,1,32,Male,No,Stable,Read,25,Low,7,7,Travel_Frequently,No,3,EMP0008
10,Research & Development,Laboratory Technician,1,59,Female,No,Mover,Read,50,High,1,0,Travel_Rarely,Yes,4,EMP0010
11,Research & Development,Laboratory Technician,1,30,Male,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,4,EMP0011
12,Research & Development,Manufacturing Director,3,38,Male,No,Stable,Write,35,Medium,9,7,Travel_Frequently,No,4,EMP0012
13,Research & Development,Healthcare Representative,2,36,Male,No,Stable,Read,20,Low,7,7,Travel_Rarely,No,3,EMP0013
14,Research & Development,Laboratory Technician,1,35,Male,No,Stable,Read,10,Low,5,4,Travel_Rarely,No,3,EMP0014
15,Research & Development,Laboratory Technician,2,29,Female,No,Stable,Read,30,Medium,9,5,Travel_Rarely,Yes,3,EMP0015
16,Research & Development,Research Scientist,1,31,Male,No,Stable,Write,20,Low,5,2,Travel_Rarely,No,3,EMP0016
18,Research & Development,Laboratory Technician,1,34,Male,No,Stable,Read,10,Low,2,2,Travel_Rarely,No,3,EMP0018
19,Research & Development,Laboratory Technician,1,28,Male,Yes,Leaver,Read,60,High,4,2,Travel_Rarely,Yes,3,EMP0019
20,Research & Development,Manufacturing Director,3,29,Female,No,Stable,Write,30,Medium,10,9,Travel_Rarely,No,3,EMP0020
21,Research & Development,Research Scientist,1,32,Male,No,Stable,Write,40,Medium,6,2,Travel_Rarely,Yes,3,EMP0021
22,Research & Development,Laboratory Technician,1,22,Male,No,Mover,Read,45,Medium,1,0,Non-Travel,Yes,3,EMP0022
23,Sales,Manager,4,53,Female,No,Stable,Write,35,Medium,25,8,Travel_Rarely,No,3,EMP0023
24,Research & Development,Research Scientist,1,38,Male,No,Stable,Write,30,Medium,3,2,Travel_Rarely,Yes,3,EMP0024
26,Research & Development,Manufacturing Director,2,24,Female,No,Stable,Write,15,Low,4,2,Non-Travel,No,3,EMP0026
27,Sales,Sales Representative,1,36,Male,Yes,Leaver,Read,50,High,5,3,Travel_Rarely,No,4,EMP0027
28,Research & Development,Research Director,3,34,Female,No,Stable,Admin,50,High,12,6,Travel_Rarely,No,3,EMP0028
