EmployeeID,Department,JobRole,JobLevel,Age,Gender,SystemName,AccessLevel,JML_Status,Attrition,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,RiskScore,RiskLevel
EMP0001,Sales,Sales Executive,2,41,Female,Active Directory,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,Salesforce,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,SharePoint,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,ServiceNow,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,CRM Portal,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,Active Directory,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,SAP,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,SharePoint,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,ServiceNow,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,Lab Systems,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0005,Research & Development,Research Scientist,1,33,Female,Active Directory,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,SAP,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,SharePoint,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,ServiceNow,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,Lab Systems,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,Active Directory,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,SAP,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,SharePoint,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,ServiceNow,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,Lab Systems,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,Active Directory,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,SAP,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,SharePoint,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,ServiceNow,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,Lab Systems,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0027,Sales,Sales Representative,1,36,Male,Active Directory,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,Salesforce,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,SharePoint,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,ServiceNow,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,CRM Portal,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0028,Research & Development,Research Director,3,34,Female,Active Directory,Admin,Stable,No,12,6,2,11,Travel_Rarely,No,3,13,4,50,High
EMP0028,Research & Development,Research Director,3,34,Female,SAP,Admin,Stable,No,12,6,2,11,Travel_Rarely,No,3,13,4,50,High
EMP0028,Research & Development,Research Director,3,34,Female,SharePoint,Admin,Stable,No,12,6,2,11,Travel_Rarely,No,3,13,4,50,High
EMP0028,Research & Development,Research Director,3,34,Female,ServiceNow,Admin,Stable,No,12,6,2,11,Travel_Rarely,No,3,13,4,50,High
EMP0028,Research & Development,Research Director,3,34,Female,Lab Systems,Admin,Stable,No,12,6,2,11,Travel_Rarely,No,3,13,4,50,High
EMP0030,Research & Development,Research Scientist,1,21,Male,Active Directory,Write,Mover,No,0,0,0,0,Travel_Rarely,No,3,0,6,50,High
EMP0030,Research & Development,Research Scientist,1,21,Male,SAP,Write,Mover,No,0,0,0,0,Travel_Rarely,No,3,0,6,50,High
EMP0030,Research & Development,Research Scientist,1,21,Male,SharePoint,Write,Mover,No,0,0,0,0,Travel_Rarely,No,3,0,6,50,High
EMP0030,Research & Development,Research Scientist,1,21,Male,ServiceNow,Write,Mover,No,0,0,0,0,Travel_Rarely,No,3,0,6,50,High
EMP0030,Research & Development,Research Scientist,1,21,Male,Lab Systems,Write,Mover,No,0,0,0,0,Travel_Rarely,No,3,0,6,50,High
EMP0031,Research & Development,Research Scientist,1,34,Male,Active Directory,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,SAP,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,SharePoint,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,ServiceNow,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,Lab Systems,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0033,Research & Development,Research Scientist,1,32,Female,Active Directory,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,SAP,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,SharePoint,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,ServiceNow,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,Lab Systems,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0042,Sales,Sales Representative,2,39,Male,Active Directory,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,Salesforce,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,SharePoint,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,ServiceNow,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,CRM Portal,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0045,Research & Development,Research Scientist,1,24,Male,Active Directory,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,SAP,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,SharePoint,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,ServiceNow,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
