EmployeeID,Department,JobRole,JobLevel,Age,Gender,SystemName,AccessLevel,JML_Status,Attrition,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,RiskScore,RiskLevel
EMP0001,Sales,Sales Executive,2,41,Female,Active Directory,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,Salesforce,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,SharePoint,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,ServiceNow,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,CRM Portal,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,Active Directory,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,SAP,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,SharePoint,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,ServiceNow,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,Lab Systems,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0019,Research & Development,Laboratory Technician,1,28,Male,Active Directory,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,SAP,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,SharePoint,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,ServiceNow,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0019,Research & Development,Laboratory Technician,1,28,Male,Lab Systems,Read,Leaver,Yes,4,2,0,3,Travel_Rarely,Yes,3,6,4,60,High
EMP0027,Sales,Sales Representative,1,36,Male,Active Directory,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,Salesforce,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,SharePoint,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,ServiceNow,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0027,Sales,Sales Representative,1,36,Male,CRM Portal,Read,Leaver,Yes,5,3,0,3,Travel_Rarely,No,4,10,4,50,High
EMP0031,Research & Development,Research Scientist,1,34,Male,Active Directory,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,SAP,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,SharePoint,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,ServiceNow,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0031,Research & Development,Research Scientist,1,34,Male,Lab Systems,Write,Leaver,Yes,4,2,1,3,Travel_Rarely,No,3,8,2,60,High
EMP0033,Research & Development,Research Scientist,1,32,Female,Active Directory,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,SAP,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,SharePoint,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,ServiceNow,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0033,Research & Development,Research Scientist,1,32,Female,Lab Systems,Write,Leaver,Yes,10,2,6,7,Travel_Frequently,Yes,4,10,5,85,Critical
EMP0042,Sales,Sales Representative,2,39,Male,Active Directory,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,Salesforce,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,SharePoint,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,ServiceNow,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0042,Sales,Sales Representative,2,39,Male,CRM Portal,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,No,3,19,6,60,High
EMP0045,Research & Development,Research Scientist,1,24,Male,Active Directory,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,SAP,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,SharePoint,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,ServiceNow,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0045,Research & Development,Research Scientist,1,24,Male,Lab Systems,Write,Leaver,Yes,2,0,2,0,Travel_Rarely,Yes,3,6,2,80,Critical
EMP0047,Sales,Sales Representative,1,50,Male,Active Directory,Read,Leaver,Yes,3,2,0,2,Travel_Rarely,Yes,3,3,2,60,High
EMP0047,Sales,Sales Representative,1,50,Male,Salesforce,Read,Leaver,Yes,3,2,0,2,Travel_Rarely,Yes,3,3,2,60,High
EMP0047,Sales,Sales Representative,1,50,Male,SharePoint,Read,Leaver,Yes,3,2,0,2,Travel_Rarely,Yes,3,3,2,60,High
EMP0047,Sales,Sales Representative,1,50,Male,ServiceNow,Read,Leaver,Yes,3,2,0,2,Travel_Rarely,Yes,3,3,2,60,High
EMP0047,Sales,Sales Representative,1,50,Male,CRM Portal,Read,Leaver,Yes,3,2,0,2,Travel_Rarely,Yes,3,3,2,60,High
EMP0055,Research & Development,Laboratory Technician,1,26,Male,Active Directory,Read,Leaver,Yes,1,0,0,1,Travel_Rarely,No,3,1,2,60,High
EMP0055,Research & Development,Laboratory Technician,1,26,Male,SAP,Read,Leaver,Yes,1,0,0,1,Travel_Rarely,No,3,1,2,60,High
EMP0055,Research & Development,Laboratory Technician,1,26,Male,SharePoint,Read,Leaver,Yes,1,0,0,1,Travel_Rarely,No,3,1,2,60,High
EMP0055,Research & Development,Laboratory Technician,1,26,Male,ServiceNow,Read,Leaver,Yes,1,0,0,1,Travel_Rarely,No,3,1,2,60,High
EMP0055,Research & Development,Laboratory Technician,1,26,Male,Lab Systems,Read,Leaver,Yes,1,0,0,1,Travel_Rarely,No,3,1,2,60,High
EMP0058,Research & Development,Research Director,5,41,Female,Active Directory,Admin,Leaver,Yes,22,15,15,8,Travel_Rarely,No,3,23,0,90,Critical
EMP0058,Research & Development,Research Director,5,41,Female,SAP,Admin,Leaver,Yes,22,15,15,8,Travel_Rarely,No,3,23,0,90,Critical
EMP0058,Research & Development,Research Director,5,41,Female,SharePoint,Admin,Leaver,Yes,22,15,15,8,Travel_Rarely,No,3,23,0,90,Critical
EMP0058,Research & Development,Research Director,5,41,Female,ServiceNow,Admin,Leaver,Yes,22,15,15,8,Travel_Rarely,No,3,23,0,90,Critical
EMP0058,Research & Development,Research Director,5,41,Female,Lab Systems,Admin,Leaver,Yes,22,15,15,8,Travel_Rarely,No,3,23,0,90,Critical
EMP0064,Research & Development,Laboratory Technician,3,48,Male,Active Directory,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,Yes,3,23,2,70,Critical
EMP0064,Research & Development,Laboratory Technician,3,48,Male,SAP,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,Yes,3,23,2,70,Critical
EMP0064,Research & Development,Laboratory Technician,3,48,Male,SharePoint,Read,Leaver,Yes,1,0,0,0,Travel_Rarely,Yes,3,23,2,70,Critical
