EmployeeID,Department,JobRole,JobLevel,Age,Gender,SystemName,AccessLevel,JML_Status,Attrition,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,RiskScore,RiskLevel
EMP0001,Sales,Sales Executive,2,41,Female,Active Directory,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,Salesforce,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,SharePoint,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,ServiceNow,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0001,Sales,Sales Executive,2,41,Female,CRM Portal,Write,Leaver,Yes,6,4,0,5,Travel_Rarely,Yes,3,8,0,80,Critical
EMP0002,Research & Development,Research Scientist,2,49,Male,Active Directory,Write,Stable,No,10,7,1,7,Travel_Frequently,No,4,10,3,35,Medium
EMP0002,Research & Development,Research Scientist,2,49,Male,SAP,Write,Stable,No,10,7,1,7,Travel_Frequently,No,4,10,3,35,Medium
EMP0002,Research & Development,Research Scientist,2,49,Male,SharePoint,Write,Stable,No,10,7,1,7,Travel_Frequently,No,4,10,3,35,Medium
EMP0002,Research & Development,Research Scientist,2,49,Male,ServiceNow,Write,Stable,No,10,7,1,7,Travel_Frequently,No,4,10,3,35,Medium
EMP0002,Research & Development,Research Scientist,2,49,Male,Lab Systems,Write,Stable,No,10,7,1,7,Travel_Frequently,No,4,10,3,35,Medium
EMP0004,Research & Development,Laboratory Technician,1,37,Male,Active Directory,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,SAP,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,SharePoint,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,ServiceNow,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0004,Research & Development,Laboratory Technician,1,37,Male,Lab Systems,Read,Leaver,Yes,0,0,0,0,Travel_Rarely,Yes,3,7,3,70,Critical
EMP0005,Research & Development,Research Scientist,1,33,Female,Active Directory,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,SAP,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,SharePoint,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,ServiceNow,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0005,Research & Development,Research Scientist,1,33,Female,Lab Systems,Write,Stable,No,8,7,3,0,Travel_Frequently,Yes,3,8,3,55,High
EMP0007,Research & Development,Laboratory Technician,1,27,Male,Active Directory,Read,Stable,No,2,2,2,2,Travel_Rarely,No,3,6,3,10,Low
EMP0007,Research & Development,Laboratory Technician,1,27,Male,SAP,Read,Stable,No,2,2,2,2,Travel_Rarely,No,3,6,3,10,Low
EMP0007,Research & Development,Laboratory Technician,1,27,Male,SharePoint,Read,Stable,No,2,2,2,2,Travel_Rarely,No,3,6,3,10,Low
EMP0007,Research & Development,Laboratory Technician,1,27,Male,ServiceNow,Read,Stable,No,2,2,2,2,Travel_Rarely,No,3,6,3,10,Low
EMP0007,Research & Development,Laboratory Technician,1,27,Male,Lab Systems,Read,Stable,No,2,2,2,2,Travel_Rarely,No,3,6,3,10,Low
EMP0008,Research & Development,Laboratory Technician,1,32,Male,Active Directory,Read,Stable,No,7,7,3,6,Travel_Frequently,No,3,8,2,25,Low
EMP0008,Research & Development,Laboratory Technician,1,32,Male,SAP,Read,Stable,No,7,7,3,6,Travel_Frequently,No,3,8,2,25,Low
EMP0008,Research & Development,Laboratory Technician,1,32,Male,SharePoint,Read,Stable,No,7,7,3,6,Travel_Frequently,No,3,8,2,25,Low
EMP0008,Research & Development,Laboratory Technician,1,32,Male,ServiceNow,Read,Stable,No,7,7,3,6,Travel_Frequently,No,3,8,2,25,Low
EMP0008,Research & Development,Laboratory Technician,1,32,Male,Lab Systems,Read,Stable,No,7,7,3,6,Travel_Frequently,No,3,8,2,25,Low
EMP0010,Research & Development,Laboratory Technician,1,59,Female,Active Directory,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,SAP,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,SharePoint,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,ServiceNow,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0010,Research & Development,Laboratory Technician,1,59,Female,Lab Systems,Read,Mover,No,1,0,0,0,Travel_Rarely,Yes,4,12,3,50,High
EMP0011,Research & Development,Laboratory Technician,1,30,Male,Active Directory,Read,Mover,No,1,0,0,0,Travel_Rarely,No,4,1,2,40,Medium
EMP0011,Research & Development,Laboratory Technician,1,30,Male,SAP,Read,Mover,No,1,0,0,0,Travel_Rarely,No,4,1,2,40,Medium
EMP0011,Research & Development,Laboratory Technician,1,30,Male,SharePoint,Read,Mover,No,1,0,0,0,Travel_Rarely,No,4,1,2,40,Medium
EMP0011,Research & Development,Laboratory Technician,1,30,Male,ServiceNow,Read,Mover,No,1,0,0,0,Travel_Rarely,No,4,1,2,40,Medium
EMP0011,Research & Development,Laboratory Technician,1,30,Male,Lab Systems,Read,Mover,No,1,0,0,0,Travel_Rarely,No,4,1,2,40,Medium
EMP0012,Research & Development,Manufacturing Director,3,38,Male,Active Directory,Write,Stable,No,9,7,1,8,Travel_Frequently,No,4,10,2,35,Medium
EMP0012,Research & Development,Manufacturing Director,3,38,Male,SAP,Write,Stable,No,9,7,1,8,Travel_Frequently,No,4,10,2,35,Medium
EMP0012,Research & Development,Manufacturing Director,3,38,Male,SharePoint,Write,Stable,No,9,7,1,8,Travel_Frequently,No,4,10,2,35,Medium
EMP0012,Research & Development,Manufacturing Director,3,38,Male,ServiceNow,Write,Stable,No,9,7,1,8,Travel_Frequently,No,4,10,2,35,Medium
EMP0012,Research & Development,Manufacturing Director,3,38,Male,Lab Systems,Write,Stable,No,9,7,1,8,Travel_Frequently,No,4,10,2,35,Medium
EMP0013,Research & Development,Healthcare Representative,2,36,Male,Active Directory,Read,Stable,No,7,7,7,7,Travel_Rarely,No,3,17,3,20,Low
EMP0013,Research & Development,Healthcare Representative,2,36,Male,SAP,Read,Stable,No,7,7,7,7,Travel_Rarely,No,3,17,3,20,Low
EMP0013,Research & Development,Healthcare Representative,2,36,Male,SharePoint,Read,Stable,No,7,7,7,7,Travel_Rarely,No,3,17,3,20,Low
EMP0013,Research & Development,Healthcare Representative,2,36,Male,ServiceNow,Read,Stable,No,7,7,7,7,Travel_Rarely,No,3,17,3,20,Low
EMP0013,Research & Development,Healthcare Representative,2,36,Male,Lab Systems,Read,Stable,No,7,7,7,7,Travel_Rarely,No,3,17,3,20,Low
EMP0014,Research & Development,Laboratory Technician,1,35,Male,Active Directory,Read,Stable,No,5,4,0,3,Travel_Rarely,No,3,6,5,10,Low
EMP0014,Research & Development,Laboratory Technician,1,35,Male,SAP,Read,Stable,No,5,4,0,3,Travel_Rarely,No,3,6,5,10,Low
EMP0014,Research & Development,Laboratory Technician,1,35,Male,SharePoint,Read,Stable,No,5,4,0,3,Travel_Rarely,No,3,6,5,10,Low
EMP0014,Research & Development,Laboratory Technician,1,35,Male,ServiceNow,Read,Stable,No,5,4,0,3,Travel_Rarely,No,3,6,5,10,Low
EMP0014,Research & Development,Laboratory Technician,1,35,Male,Lab Systems,Read,Stable,No,5,4,0,3,Travel_Rarely,No,3,6,5,10,Low
EMP0015,Research & Development,Laboratory Technician,2,29,Female,Active Directory,Read,Stable,No,9,5,0,8,Travel_Rarely,Yes,3,10,3,30,Medium
EMP0015,Research & Development,Laboratory Technician,2,29,Female,SAP,Read,Stable,No,9,5,0,8,Travel_Rarely,Yes,3,10,3,30,Medium
EMP0015,Research & Development,Laboratory Technician,2,29,Female,SharePoint,Read,Stable,No,9,5,0,8,Travel_Rarely,Yes,3,10,3,30,Medium
EMP0015,Research & Development,Laboratory Technician,2,29,Female,ServiceNow,Read,Stable,No,9,5,0,8,Travel_Rarely,Yes,3,10,3,30,Medium
