EmployeeID,Department,JobRole,SystemName,AccessLevel,RiskScore,RiskLevel,YearsAtCompany
EMP0825,Research & Development,Research Director,Active Directory,Admin,100,Critical,31
EMP0825,Research & Development,Research Director,SAP,Admin,100,Critical,31
EMP0825,Research & Development,Research Director,SharePoint,Admin,100,Critical,31
EMP0825,Research & Development,Research Director,ServiceNow,Admin,100,Critical,31
EMP0825,Research & Development,Research Director,Lab Systems,Admin,100,Critical,31
EMP0058,Research & Development,Research Director,Active Directory,Admin,90,Critical,22
EMP0058,Research & Development,Research Director,SAP,Admin,90,Critical,22
EMP0058,Research & Development,Research Director,SharePoint,Admin,90,Critical,22
EMP0058,Research & Development,Research Director,ServiceNow,Admin,90,Critical,22
EMP0058,Research & Development,Research Director,Lab Systems,Admin,90,Critical,22
EMP0492,Sales,Sales Executive,Active Directory,Write,90,Critical,6
EMP0492,Sales,Sales Executive,Salesforce,Write,90,Critical,6
EMP0492,Sales,Sales Executive,SharePoint,Write,90,Critical,6
EMP0492,Sales,Sales Executive,ServiceNow,Write,90,Critical,6
EMP0492,Sales,Sales Executive,CRM Portal,Write,90,Critical,6
EMP1167,Sales,Sales Executive,Active Directory,Write,90,Critical,21
EMP1167,Sales,Sales Executive,Salesforce,Write,90,Critical,21
EMP1167,Sales,Sales Executive,SharePoint,Write,90,Critical,21
EMP1167,Sales,Sales Executive,ServiceNow,Write,90,Critical,21
EMP1167,Sales,Sales Executive,CRM Portal,Write,90,Critical,21
EMP1667,Sales,Sales Executive,Active Directory,Write,90,Critical,11
EMP1667,Sales,Sales Executive,Salesforce,Write,90,Critical,11
EMP1667,Sales,Sales Executive,SharePoint,Write,90,Critical,11
EMP1667,Sales,Sales Executive,ServiceNow,Write,90,Critical,11
EMP1667,Sales,Sales Executive,CRM Portal,Write,90,Critical,11
EMP0033,Research & Development,Research Scientist,Active Directory,Write,85,Critical,10
EMP0033,Research & Development,Research Scientist,SAP,Write,85,Critical,10
EMP0033,Research & Development,Research Scientist,SharePoint,Write,85,Critical,10
EMP0033,Research & Development,Research Scientist,ServiceNow,Write,85,Critical,10
EMP0033,Research & Development,Research Scientist,Lab Systems,Write,85,Critical,10
EMP0299,Sales,Sales Executive,Active Directory,Write,85,Critical,6
EMP0299,Sales,Sales Executive,Salesforce,Write,85,Critical,6
EMP0299,Sales,Sales Executive,SharePoint,Write,85,Critical,6
EMP0299,Sales,Sales Executive,ServiceNow,Write,85,Critical,6
EMP0299,Sales,Sales Executive,CRM Portal,Write,85,Critical,6
EMP0514,Research & Development,Research Scientist,Active Directory,Write,85,Critical,1
EMP0514,Research & Development,Research Scientist,SAP,Write,85,Critical,1
EMP0514,Research & Development,Research Scientist,SharePoint,Write,85,Critical,1
EMP0514,Research & Development,Research Scientist,ServiceNow,Write,85,Critical,1
EMP0514,Research & Development,Research Scientist,Lab Systems,Write,85,Critical,1
EMP0608,Human Resources,Human Resources,Active Directory,Read,85,Critical,7
EMP0608,Human Resources,Human Resources,Workday,Read,85,Critical,7
EMP0608,Human Resources,Human Resources,SharePoint,Read,85,Critical,7
EMP0608,Human Resources,Human Resources,ServiceNow,Read,85,Critical,7
EMP0608,Human Resources,Human Resources,HR Portal,Read,85,Critical,7
EMP0702,Research & Development,Research Scientist,Active Directory,Write,85,Critical,10
EMP0702,Research & Development,Research Scientist,SAP,Write,85,Critical,10
EMP0702,Research & Development,Research Scientist,SharePoint,Write,85,Critical,10
EMP0702,Research & Development,Research Scientist,ServiceNow,Write,85,Critical,10
EMP0702,Research & Development,Research Scientist,Lab Systems,Write,85,Critical,10
EMP0848,Research & Development,Research Scientist,Active Directory,Write,85,Critical,8
EMP0848,Research & Development,Research Scientist,SAP,Write,85,Critical,8
EMP0848,Research & Development,Research Scientist,SharePoint,Write,85,Critical,8
EMP0848,Research & Development,Research Scientist,ServiceNow,Write,85,Critical,8
EMP0848,Research & Development,Research Scientist,Lab Systems,Write,85,Critical,8
EMP0881,Research & Development,Research Scientist,Active Directory,Write,85,Critical,10
EMP0881,Research & Development,Research Scientist,SAP,Write,85,Critical,10
EMP0881,Research & Development,Research Scientist,SharePoint,Write,85,Critical,10
EMP0881,Research & Development,Research Scientist,ServiceNow,Write,85,Critical,10
EMP0881,Research & Development,Research Scientist,Lab Systems,Write,85,Critical,10
EMP0967,Sales,Sales Executive,Active Directory,Write,85,Critical,16
EMP0967,Sales,Sales Executive,Salesforce,Write,85,Critical,16
EMP0967,Sales,Sales Executive,SharePoint,Write,85,Critical,16
EMP0967,Sales,Sales Executive,ServiceNow,Write,85,Critical,16
EMP0967,Sales,Sales Executive,CRM Portal,Write,85,Critical,16
EMP1113,Sales,Sales Executive,Active Directory,Write,85,Critical,0
EMP1113,Sales,Sales Executive,Salesforce,Write,85,Critical,0
EMP1113,Sales,Sales Executive,SharePoint,Write,85,Critical,0
EMP1113,Sales,Sales Executive,ServiceNow,Write,85,Critical,0
EMP1113,Sales,Sales Executive,CRM Portal,Write,85,Critical,0
EMP1203,Research & Development,Research Scientist,Active Directory,Write,85,Critical,0
EMP1203,Research & Development,Research Scientist,SAP,Write,85,Critical,0
EMP1203,Research & Development,Research Scientist,SharePoint,Write,85,Critical,0
EMP1203,Research & Development,Research Scientist,ServiceNow,Write,85,Critical,0
EMP1203,Research & Development,Research Scientist,Lab Systems,Write,85,Critical,0
EMP1277,Sales,Manager,Active Directory,Write,85,Critical,24
EMP1277,Sales,Manager,Salesforce,Write,85,Critical,24
EMP1277,Sales,Manager,SharePoint,Write,85,Critical,24
EMP1277,Sales,Manager,ServiceNow,Write,85,Critical,24
EMP1277,Sales,Manager,CRM Portal,Write,85,Critical,24
EMP1372,Sales,Sales Executive,Active Directory,Write,85,Critical,19
EMP1372,Sales,Sales Executive,Salesforce,Write,85,Critical,19
EMP1372,Sales,Sales Executive,SharePoint,Write,85,Critical,19
EMP1372,Sales,Sales Executive,ServiceNow,Write,85,Critical,19
EMP1372,Sales,Sales Executive,CRM Portal,Write,85,Critical,19
EMP1489,Sales,Sales Executive,Active Directory,Write,85,Critical,15
EMP1489,Sales,Sales Executive,Salesforce,Write,85,Critical,15
EMP1489,Sales,Sales Executive,SharePoint,Write,85,Critical,15
EMP1489,Sales,Sales Executive,ServiceNow,Write,85,Critical,15
EMP1489,Sales,Sales Executive,CRM Portal,Write,85,Critical,15
EMP1639,Sales,Sales Executive,Active Directory,Write,85,Critical,13
EMP1639,Sales,Sales Executive,Salesforce,Write,85,Critical,13
EMP1639,Sales,Sales Executive,SharePoint,Write,85,Critical,13
